wl,bg,wl1,01_C.sexpl_intact_bright_i2_p1_r1,01_C.sexpl_intact_bright_i2_p1_r1_cal,wl1,02_C.sexpl_intact_darkpt_i2_p1_r1,02_C.sexpl_intact_darkpt_i2_p1_r1_Cal,wl1,03_C.sexpl_intact_bright_i2_p2_r1,03_C.sexpl_intact_bright_i2_p2_r2_cal,wl1,04_C.sexpl_intact_darkpt_i2_p2_r1,04_C.sexpl_intact_darkpt_i2_p2_r1_cal,wl1,05_C.sexpl_alterd_bright_i2_p1_r1,05_C.sexpl_alterd_bright_i2_p1_r1_cal,wl1,06_C.sexpl_alterd_darkpt_i2_p1_r1,06_C.sexpl_alterd_darkpt_i2_p1_r1_cal,wl,07_C.sexpl_alterd_bright_i2_p2_r1,07_C.sexpl_alterd_bright_i2_p2_r1_cal,wl,08_C.sexpl_alterd_darkpt_i2_p2_r1,08_C.sexpl_alterd_darkpt_i2_p2_r1_cal,wl,09_T.bonvo_intact_bright_i2_p1_r1,09_T.bonvo_intact_bright_i2_p1_r1_cal,wl,10_T.bonvo_intact_darkpt_i2_p1_r1,10_T.bonvo_intact_darkpt_i2_p1_r1_cal,wl,11.T.bonvo_intact_bright_2_2_1,11.T.bonvo_intact_bright_2_2_1_cal,wl,12_T.bonvo_intact_darkpt_i2_p2_r1,12_T.bonvo_intact_darkpt_i2_p2_r1_cal,wl,13_T.bonvo_alterd_bright_i2_p1_r1,13_T.bonvo_alterd_bright_i2_p1_r1_cal,wl,14_T.bonvo_alterd_darkpt_i2_p1_r1,14_T.bonvo_alterd_darkpt_i2_p1_r1_cal,wl,15_T.bonvo_alterd_bright_i2_p2_r1,15_T.bonvo_alterd_bright_i2_p2_r1_cal,wl,16_T.bonvo_alterd_darkpt_i2_p2_r1,16_T.bonvo_alterd_darkpt_i2_p2_r1_cal,wl,17_C.scala_intact_bright_i2_p1_r1,17_C.scala_intact_bright_i2_p1_r1_cal,wl,18_C.scala_intact_darkpt_i2_p1_r1,18_C.scala_intact_darkpt_i2_p1_r1_cal,wl,19_C.scala_intact_bright_i2_p2_r1,19_C.scala_intact_bright_i2_p2_r1_cal,wl,20_C.scala_intact_darkpt_i2_p2_r1,20_C.scala_intact_darkpt_i2_p2_r1_cal,wl,21_C.scala_alterd_bright_i2_p1_r1,21_C.scala_alterd_bright_i2_p1_r1_cal,wl,22_C.scala_alterd_darkpt_i2_p1_r1,22_C.scala_alterd_darkpt_i2_p1_r1_cal,wl,23_C.scala_alterd_bright_i2_p2_r1,23_C.scala_alterd_bright_i2_p2_r1_cal,wl,24_C.scala_alterd_darkpt_i2_p2_r1,24_C.scala_alterd_darkpt_i2_p2_r1_cal,wl,25_C.octos_intact_bright_i2_p1_r1,25_C.octos_intact_bright_i2_p1_r1_cal,wl,26_C.octos_intact_darkpt_i2_p1_r1,26_C.octos_intact_darkpt_i2_p1_r1_cal,wl,27_C.octos_intact_bright_i2_p2_r1,27_C.octos_intact_bright_i2_p2_r1_cal,wl,28_C.octos_intact_darkpt_i2_p2_r1,28_C.octos_intact_darkpt_i2_p2_r1_cal,wl,29_C.octos_alterd_bright_i2_p1_r1,29_C.octos_alterd_bright_i2_p1_r1_cal,wl,30_C.octos_alterd_darkpt_i2_p1_r1,30_C.octos_alterd_darkpt_i2_p1_r1_cal,wl,31_C.octos_alterd_bright_i2_p2_r1,31_C.octos_alterd_bright_i2_p2_r1_cal,wl,32_C.octos_alterd_darkpt_i2_p2_r1,32_C.octos_alterd_darkpt_i2_p2_r1_cal,wl,33_T.bruck_intact_bright_i2_p1_r1,33_T.bruck_intact_bright_i2_p1_r1_cal,wl,34_T.bruck_intact_bright_i2_p2_r1,34_T.bruck_intact_bright_i2_p2_r1_cal,wl,35_T.bruck_alterd_bright_i2_p1_r1,35_T.bruck_alterd_bright_i2_p1_r1_cal,wl,36_T.bruck_alterd_bright_i2_p2_r1,36_T.bruck_alterd_bright_i2_p2_r1_cal
450,-1.52E-07,450,-1.92E-08,12.67967653,450,-1.61E-08,10.58913472,,,,,,,450,-3.66E-08,24.13613566,450,-1.82E-08,12.01138858,,,,,,,450,-1.62E-08,10.6860167,450,-1.67E-08,10.97666265,,,,,,,450,-1.59E-08,10.48698025,450,-1.39E-08,9.130632501,,,,,,,450,-1.94E-08,12.81544312,450,-1.38E-08,9.077907613,,,,,,,450,-4.05E-08,26.70647396,450,-1.45E-08,9.532000712,,,,,,,450,-2.08E-08,13.73681054,450,-1.31E-08,8.661380997,,,,,,,450,-2.92E-08,19.2557882,450,-1.45E-08,9.562976584,,,,,,,450,-6.68E-08,44.02264534,,,,450,-6.74E-08,44.41149139,,,
455,-1.64E-07,455,-2.01E-08,12.24643857,455,-1.61E-08,9.821015463,,,,,,,455,-4.12E-08,25.06331426,455,-1.83E-08,11.14878851,,,,,,,455,-1.63E-08,9.906854986,455,-1.67E-08,10.16680872,,,,,,,455,-1.59E-08,9.705345184,455,-1.39E-08,8.468890783,,,,,,,455,-2.00E-08,12.16486059,455,-1.38E-08,8.416534762,,,,,,,455,-4.37E-08,26.60172897,455,-1.46E-08,8.857908194,,,,,,,455,-2.19E-08,13.32582491,455,-1.32E-08,8.028734932,,,,,,,455,-3.15E-08,19.17934981,455,-1.46E-08,8.868866431,,,,,,,455,-7.47E-08,45.48155363,,,,455,-7.53E-08,45.85839523,,,
460,-1.81E-07,460,-2.14E-08,11.79163935,460,-1.62E-08,8.935330839,,,,,,,460,-4.70E-08,25.89796852,460,-1.84E-08,10.15796752,,,,,,,460,-1.64E-08,9.011917815,460,-1.68E-08,9.239474801,,,,,,,460,-1.60E-08,8.813012072,460,-1.40E-08,7.705531343,,,,,,,460,-2.11E-08,11.6081612,460,-1.39E-08,7.657044624,,,,,,,460,-4.79E-08,26.39771231,460,-1.47E-08,8.079099469,,,,,,,460,-2.32E-08,12.79498383,460,-1.32E-08,7.297802119,,,,,,,460,-3.49E-08,19.21010728,460,-1.47E-08,8.075242571,,,,,,,460,-8.50E-08,46.85139372,,,,460,-8.61E-08,47.45417179,,,
465,-2.06E-07,465,-2.33E-08,11.29700005,465,-1.63E-08,7.927216956,,,,,,,465,-5.48E-08,26.57823595,465,-1.86E-08,9.030902217,,,,,,,465,-1.65E-08,7.991768469,465,-1.69E-08,8.17959881,,,,,,,465,-1.61E-08,7.796657882,465,-1.41E-08,6.839062887,,,,,,,465,-2.30E-08,11.15333654,465,-1.40E-08,6.791983964,,,,,,,465,-5.41E-08,26.27392167,465,-1.48E-08,7.189970733,,,,,,,465,-2.53E-08,12.29487908,465,-1.33E-08,6.458063358,,,,,,,465,-3.97E-08,19.29022457,465,-1.48E-08,7.166188597,,,,,,,465,-9.90E-08,48.05932915,,,,465,-1.01E-07,48.98537641,,,
470,-2.35E-07,470,-2.55E-08,10.88166836,470,-1.65E-08,7.018134693,,,,,,,470,-6.39E-08,27.23997988,470,-1.88E-08,8.002881771,,,,,,,470,-1.66E-08,7.068864088,470,-1.70E-08,7.225741544,,,,,,,470,-1.61E-08,6.876177647,470,-1.42E-08,6.051292108,,,,,,,470,-2.54E-08,10.82624969,470,-1.41E-08,6.012925338,,,,,,,470,-6.20E-08,26.43726181,470,-1.50E-08,6.382951513,,,,,,,470,-2.83E-08,12.05270742,470,-1.34E-08,5.705564887,,,,,,,470,-4.59E-08,19.55000043,470,-1.49E-08,6.346289933,,,,,,,470,-1.15E-07,49.17042519,,,,470,-1.18E-07,50.20462277,,,
475,-2.54E-07,475,-2.73E-08,10.73816249,475,-1.65E-08,6.514913349,,,,,,,475,-7.15E-08,28.16418669,475,-1.89E-08,7.437567219,,,,,,,475,-1.66E-08,6.557854968,475,-1.70E-08,6.700468418,,,,,,,475,-1.61E-08,6.340389153,475,-1.43E-08,5.618654785,,,,,,,475,-2.68E-08,10.57072957,475,-1.42E-08,5.582016523,,,,,,,475,-6.84E-08,26.95630592,475,-1.51E-08,5.949187064,,,,,,,475,-3.12E-08,12.29154602,475,-1.34E-08,5.292062104,,,,,,,475,-5.07E-08,19.95564013,475,-1.50E-08,5.89560853,,,,,,,475,-1.28E-07,50.30275811,,,,475,-1.30E-07,51.31287106,,,
480,-2.47E-07,480,-2.74E-08,11.10917314,480,-1.65E-08,6.695195408,,,,,,,480,-7.28E-08,29.54509502,480,-1.88E-08,7.637049506,,,,,,,480,-1.66E-08,6.730890137,480,-1.70E-08,6.881781491,,,,,,,480,-1.59E-08,6.431946782,480,-1.42E-08,5.776056138,,,,,,,480,-2.63E-08,10.65771594,480,-1.41E-08,5.732248971,,,,,,,480,-6.90E-08,27.98710122,480,-1.51E-08,6.115967307,,,,,,,480,-3.23E-08,13.08941935,480,-1.33E-08,5.398422131,,,,,,,480,-5.12E-08,20.7568905,480,-1.49E-08,6.062425213,,,,,,,480,-1.27E-07,51.61985114,,,,480,-1.29E-07,52.34064129,,,
485,-2.49E-07,485,-2.84E-08,11.41775283,485,-1.65E-08,6.636631572,,,,,,,485,-7.69E-08,30.87591651,485,-1.89E-08,7.569004425,,,,,,,485,-1.66E-08,6.66795159,485,-1.70E-08,6.812103982,,,,,,,485,-1.58E-08,6.325840621,485,-1.43E-08,5.731563351,,,,,,,485,-2.72E-08,10.90779868,485,-1.41E-08,5.680969475,,,,,,,485,-7.20E-08,28.90074767,485,-1.51E-08,6.070863549,,,,,,,485,-3.43E-08,13.77036805,485,-1.34E-08,5.389050843,,,,,,,485,-5.32E-08,21.36306326,485,-1.50E-08,6.009428129,,,,,,,485,-1.31E-07,52.74612314,,,,485,-1.32E-07,53.18179263,,,
490,-2.60E-07,490,-3.08E-08,11.83172824,490,-1.66E-08,6.37876128,,,,,,,490,-8.41E-08,32.3129108,490,-1.90E-08,7.281890925,,,,,,,490,-1.67E-08,6.402962542,490,-1.70E-08,6.542792057,,,,,,,490,-1.58E-08,6.054541194,490,-1.44E-08,5.516351218,,,,,,,490,-2.98E-08,11.4375934,490,-1.42E-08,5.458345018,,,,,,,490,-7.77E-08,29.83477837,490,-1.52E-08,5.849406685,,,,,,,490,-3.75E-08,14.40128766,490,-1.35E-08,5.179070134,,,,,,,490,-5.72E-08,21.97551447,490,-1.50E-08,5.776802898,,,,,,,490,-1.40E-07,53.8393574,,,,490,-1.40E-07,53.96996739,,,
495,-2.73E-07,495,-3.42E-08,12.52364959,495,-1.67E-08,6.115893991,,,,,,,495,-9.24E-08,33.89297919,495,-1.91E-08,6.988178872,,,,,,,495,-1.67E-08,6.131660385,495,-1.71E-08,6.262558116,,,,,,,495,-1.58E-08,5.786999692,495,-1.45E-08,5.304474722,,,,,,,495,-3.38E-08,12.39531848,495,-1.43E-08,5.24324245,,,,,,,495,-8.39E-08,30.77599988,495,-1.53E-08,5.625302495,,,,,,,495,-4.11E-08,15.08330522,495,-1.35E-08,4.96018069,,,,,,,495,-6.15E-08,22.5499758,495,-1.51E-08,5.543903906,,,,,,,495,-1.50E-07,55.0404793,,,,495,-1.49E-07,54.76548406,,,
